today,3,weather,20/10/2021 16.24.16
is,2,weather,20/10/2021 16.24.16
cloudy,2,weather,20/10/2021 16.24.16
hello,1,news,20/10/2021 16.24.16
world,1,news,20/10/2021 16.24.16
some,1,private ad,20/10/2021 16.24.16
text,1,private ad,20/10/2021 16.24.16
hello,1,news,20/10/2021 16.25.01
world11,1,news,20/10/2021 16.25.01
json,1,weather,20/10/2021 16.25.01
file,1,weather,20/10/2021 16.25.01
today,1,weather,20/10/2021 16.25.01
is,1,weather,20/10/2021 16.25.01
cloudy11,1,weather,20/10/2021 16.25.01
some,1,private ad,20/10/2021 16.25.01
private,1,private ad,20/10/2021 16.25.01
add11,1,private ad,20/10/2021 16.25.01
