t,3,2,66.67,weather,20/10/2021 16.24.16
o,5,0,0.0,weather,20/10/2021 16.24.16
d,5,0,0.0,weather,20/10/2021 16.24.16
a,3,0,0.0,weather,20/10/2021 16.24.16
y,5,0,0.0,weather,20/10/2021 16.24.16
i,2,0,0.0,weather,20/10/2021 16.24.16
s,2,0,0.0,weather,20/10/2021 16.24.16
c,2,0,0.0,weather,20/10/2021 16.24.16
l,2,0,0.0,weather,20/10/2021 16.24.16
u,2,0,0.0,weather,20/10/2021 16.24.16
h,1,1,100,news,20/10/2021 16.24.16
e,1,0,0,news,20/10/2021 16.24.16
l,3,0,0.0,news,20/10/2021 16.24.16
o,2,0,0.0,news,20/10/2021 16.24.16
w,1,0,0,news,20/10/2021 16.24.16
r,1,0,0,news,20/10/2021 16.24.16
d,1,0,0,news,20/10/2021 16.24.16
s,1,1,100,private ad,20/10/2021 16.24.16
o,1,0,0,private ad,20/10/2021 16.24.16
m,1,0,0,private ad,20/10/2021 16.24.16
e,2,0,0.0,private ad,20/10/2021 16.24.16
t,2,0,0.0,private ad,20/10/2021 16.24.16
x,1,0,0,private ad,20/10/2021 16.24.16
h,1,1,100,news,20/10/2021 16.25.01
e,1,0,0,news,20/10/2021 16.25.01
l,3,0,0.0,news,20/10/2021 16.25.01
o,2,0,0.0,news,20/10/2021 16.25.01
w,1,0,0,news,20/10/2021 16.25.01
r,1,0,0,news,20/10/2021 16.25.01
d,1,0,0,news,20/10/2021 16.25.01
j,1,1,100,weather,20/10/2021 16.25.01
s,2,0,0.0,weather,20/10/2021 16.25.01
o,3,0,0.0,weather,20/10/2021 16.25.01
n,1,0,0,weather,20/10/2021 16.25.01
f,1,0,0,weather,20/10/2021 16.25.01
i,2,0,0.0,weather,20/10/2021 16.25.01
l,2,0,0.0,weather,20/10/2021 16.25.01
e,1,0,0,weather,20/10/2021 16.25.01
t,1,0,0,weather,20/10/2021 16.25.01
d,2,0,0.0,weather,20/10/2021 16.25.01
a,1,0,0,weather,20/10/2021 16.25.01
y,2,0,0.0,weather,20/10/2021 16.25.01
c,1,0,0,weather,20/10/2021 16.25.01
u,1,0,0,weather,20/10/2021 16.25.01
s,1,1,100,private ad,20/10/2021 16.25.01
o,1,0,0,private ad,20/10/2021 16.25.01
m,1,0,0,private ad,20/10/2021 16.25.01
e,2,0,0.0,private ad,20/10/2021 16.25.01
p,1,0,0,private ad,20/10/2021 16.25.01
r,1,0,0,private ad,20/10/2021 16.25.01
i,1,0,0,private ad,20/10/2021 16.25.01
v,1,0,0,private ad,20/10/2021 16.25.01
a,2,0,0.0,private ad,20/10/2021 16.25.01
t,1,0,0,private ad,20/10/2021 16.25.01
d,2,0,0.0,private ad,20/10/2021 16.25.01
t,3,2,66.67,weather,20/10/2021 16.41.20
o,5,0,0.0,weather,20/10/2021 16.41.20
d,5,0,0.0,weather,20/10/2021 16.41.20
a,3,0,0.0,weather,20/10/2021 16.41.20
y,5,0,0.0,weather,20/10/2021 16.41.20
i,2,0,0.0,weather,20/10/2021 16.41.20
s,2,0,0.0,weather,20/10/2021 16.41.20
c,2,0,0.0,weather,20/10/2021 16.41.20
l,2,0,0.0,weather,20/10/2021 16.41.20
u,2,0,0.0,weather,20/10/2021 16.41.20
t,3,2,66.67,news,20/10/2021 16.41.20
o,5,0,0.0,news,20/10/2021 16.41.20
d,5,0,0.0,news,20/10/2021 16.41.20
a,3,0,0.0,news,20/10/2021 16.41.20
y,5,0,0.0,news,20/10/2021 16.41.20
i,2,0,0.0,news,20/10/2021 16.41.20
s,2,0,0.0,news,20/10/2021 16.41.20
c,2,0,0.0,news,20/10/2021 16.41.20
l,2,0,0.0,news,20/10/2021 16.41.20
u,2,0,0.0,news,20/10/2021 16.41.20
s,1,1,100,private ad,20/10/2021 16.41.20
o,1,0,0,private ad,20/10/2021 16.41.20
m,1,0,0,private ad,20/10/2021 16.41.20
e,2,0,0.0,private ad,20/10/2021 16.41.20
t,2,0,0.0,private ad,20/10/2021 16.41.20
x,1,0,0,private ad,20/10/2021 16.41.20
t,3,2,66.67,weather,20/10/2021 16.42.16
o,5,0,0.0,weather,20/10/2021 16.42.16
d,5,0,0.0,weather,20/10/2021 16.42.16
a,3,0,0.0,weather,20/10/2021 16.42.16
y,5,0,0.0,weather,20/10/2021 16.42.16
i,2,0,0.0,weather,20/10/2021 16.42.16
s,2,0,0.0,weather,20/10/2021 16.42.16
c,2,0,0.0,weather,20/10/2021 16.42.16
l,2,0,0.0,weather,20/10/2021 16.42.16
u,2,0,0.0,weather,20/10/2021 16.42.16
t,3,2,66.67,news,20/10/2021 16.42.16
o,5,0,0.0,news,20/10/2021 16.42.16
d,5,0,0.0,news,20/10/2021 16.42.16
a,3,0,0.0,news,20/10/2021 16.42.16
y,5,0,0.0,news,20/10/2021 16.42.16
i,2,0,0.0,news,20/10/2021 16.42.16
s,2,0,0.0,news,20/10/2021 16.42.16
c,2,0,0.0,news,20/10/2021 16.42.16
l,2,0,0.0,news,20/10/2021 16.42.16
u,2,0,0.0,news,20/10/2021 16.42.16
s,1,1,100,private ad,20/10/2021 16.42.16
o,1,0,0,private ad,20/10/2021 16.42.16
